bedrooms,bathrooms,sqft,lot_size,age,floors,location,property_type,price
4,3,2660,4246,22,2,Urban,Apartment,9102173
5,1,501,1845,16,2,Rural,Villa,5445498
3,2,1141,2493,25,2,Rural,Villa,6892472
5,1,2767,4236,8,2,Urban,Villa,2481680
5,3,2089,1362,13,2,Rural,Villa,7165679
2,3,1354,3285,21,1,Rural,Apartment,8572798
3,2,2259,4154,1,1,Suburban,Apartment,8180142
3,1,2932,1025,16,1,Rural,House,4636694
3,3,2161,1759,29,2,Urban,Villa,7287118
5,2,1653,3867,7,2,Suburban,House,8292708
4,3,1576,1615,5,1,Suburban,Apartment,7020500
3,3,2207,3920,22,2,Urban,Apartment,4961293
5,1,2195,816,29,1,Urban,Apartment,6100673
2,3,2233,2043,23,1,Suburban,Apartment,3534026
4,1,1939,3005,3,1,Rural,Apartment,2315826
2,3,2794,3324,12,2,Suburban,Apartment,5467366
4,2,1335,1869,26,2,Urban,Apartment,8897061
5,3,702,4244,16,1,Suburban,Villa,2327359
1,1,622,3365,19,1,Urban,House,5748603
4,1,900,1860,5,1,Suburban,Apartment,6201253
2,2,1266,3127,22,1,Rural,Villa,4860337
5,3,793,4220,25,2,Suburban,Villa,2317537
4,3,2827,1101,29,2,Suburban,House,8953757
1,2,697,1406,14,1,Urban,Apartment,2550222
1,3,2430,3970,28,1,Urban,House,6975026
3,3,2691,1499,5,2,Urban,Apartment,9795134
3,1,1108,1939,15,2,Suburban,Villa,9677921
2,3,1647,990,17,1,Rural,Villa,4573619
4,3,686,3100,14,1,Urban,Villa,4453752
4,2,2294,1780,20,1,Urban,Villa,3364133
3,2,1159,3775,5,2,Suburban,House,9265760
4,1,2455,1984,12,2,Urban,Apartment,3932247
4,3,2950,4127,16,2,Rural,Apartment,3353038
1,3,1869,4194,26,1,Rural,House,2250875
3,3,2486,927,26,1,Urban,Apartment,6657693
5,1,2034,2865,16,2,Urban,Villa,6264694
3,1,646,2616,21,2,Suburban,Apartment,2707689
5,2,2234,1369,7,1,Rural,Villa,6447794
1,1,2343,2695,4,2,Rural,House,3615952
2,3,988,3533,1,2,Urban,Apartment,3296516
4,3,2459,4663,5,1,Suburban,House,8656796
1,1,2163,4814,23,2,Rural,Apartment,4530179
4,3,2885,3701,26,1,Rural,Villa,3556617
2,3,1140,2486,10,1,Suburban,House,5463351
2,1,2302,3809,22,1,Suburban,Apartment,3265040
1,1,2469,954,5,1,Rural,Villa,7753616
2,3,2698,3337,4,1,Rural,House,3854971
5,3,1938,2209,2,1,Suburban,House,9657299
2,3,2134,4857,20,1,Rural,Apartment,2650199
4,2,762,1584,10,2,Urban,Apartment,6034628
4,2,2287,3975,26,1,Urban,Apartment,8515233
4,2,2691,3606,19,1,Suburban,Villa,9151365
4,1,2893,1337,26,2,Suburban,Apartment,3849396
5,2,1123,2641,1,2,Suburban,House,9345601
3,1,1516,3255,24,2,Urban,House,4691276
1,1,1380,1324,5,1,Rural,Apartment,2628861
4,2,2549,3750,13,2,Urban,Apartment,4526954
2,2,1827,4931,4,1,Rural,House,8549546
4,2,2801,4915,16,1,Urban,Villa,9385034
2,3,952,3168,24,1,Rural,Apartment,9063410
2,2,1683,4647,16,1,Urban,Apartment,2661614
4,3,2556,3501,23,2,Suburban,House,6873878
5,1,2182,1771,2,2,Urban,Apartment,6693174
2,3,2755,1966,17,1,Rural,Villa,5357519
2,2,1654,3574,28,1,Urban,House,8494302
4,1,903,2782,27,1,Urban,Apartment,2666997
2,1,2699,1653,20,2,Urban,House,3726351
2,1,2601,4946,24,1,Suburban,Apartment,3072647
4,3,2196,4536,12,1,Urban,Apartment,3631107
4,2,1127,4569,18,2,Suburban,Apartment,3028455
1,1,1086,1374,3,2,Suburban,Villa,7106563
5,1,2148,4061,28,1,Urban,Villa,8463768
5,1,1943,1948,1,2,Urban,House,3305794
2,3,1945,2515,1,2,Urban,Apartment,7457759
5,3,603,4654,29,1,Rural,Apartment,7606594
2,2,753,3291,19,2,Urban,Villa,8718106
1,3,1996,3460,11,1,Suburban,Apartment,8623324
4,1,598,3924,5,2,Urban,Villa,3950367
4,2,2700,3851,12,1,Rural,Apartment,3910705
4,1,2384,804,3,1,Urban,House,3601596
5,1,2419,1676,1,1,Rural,Apartment,5791481
1,3,1377,1791,1,2,Rural,Apartment,7123122
5,2,837,4942,8,1,Urban,Villa,9757202
5,3,1456,1435,10,2,Suburban,Apartment,8348564
1,3,2204,2493,11,1,Rural,Apartment,6150276
1,2,660,2482,12,1,Urban,Villa,7723601
1,1,2103,919,29,2,Urban,House,7354075
1,1,897,1630,13,1,Suburban,House,7279548
4,2,1800,4475,12,1,Rural,Villa,4382357
3,1,1315,2169,14,2,Rural,Villa,5487124
3,2,2027,1540,2,1,Urban,Villa,9904069
1,2,2419,916,29,1,Urban,Villa,8422016
3,3,1915,3638,19,1,Suburban,Villa,7241476
3,2,1658,1950,18,1,Suburban,House,9706856
1,3,1718,2731,3,2,Rural,House,4245131
3,1,900,1812,23,2,Rural,Villa,7392729
5,1,1139,2464,17,1,Urban,Apartment,9040045
2,1,959,1881,26,2,Rural,Villa,6246049
2,1,1454,1312,8,1,Suburban,Apartment,9710640
1,3,969,3649,29,2,Suburban,Villa,8288461
